T,current_km,best_km
6325.84926135,8980784.10907,8615715.85815
6315.58744618,9171434.57413,8615715.85815
6305.34227775,9180747.12433,8615715.85815
6295.11372908,8978145.46864,8615715.85815
6284.90177319,8965345.52765,8615715.85815
6274.70638318,8749065.92556,8615715.85815
6264.52753216,8988918.75442,8615715.85815
6254.36519331,8972486.77728,8615715.85815
6244.21933985,8885493.162,8615715.85815
6234.08994502,8922818.09047,8615715.85815
6223.97698213,8813391.65079,8615715.85815
6213.88042453,8861329.74199,8615715.85815
6203.8002456,9245951.24598,8615715.85815
6193.73641877,8939449.90915,8615715.85815
6183.68891752,8770627.84014,8615715.85815
6173.65771536,8900903.67814,8615715.85815
6163.64278585,8981263.54021,8615715.85815
6153.64410259,9157145.83292,8615715.85815
6143.66163924,8856251.25595,8615715.85815
6133.69536947,8931502.31249,8615715.85815
6123.74526702,8850481.65974,8615715.85815
6113.81130566,8939370.31758,8615715.85815
6103.89345921,8915651.05226,8615715.85815
6093.99170153,9012773.30826,8615715.85815
6084.10600651,9008139.4249,8615715.85815
6074.2363481,9071569.72312,8615715.85815
6064.38270029,9142745.73444,8615715.85815
6054.5450371,8835362.43132,8615715.85815
6044.7233326,9048072.72056,8615715.85815
6034.91756091,8715144.20239,8615715.85815
6025.12769617,8765705.32118,8615715.85815
6015.35371259,8618492.98507,8581495.26284
6005.59558439,8589838.68639,8478767.33873
5995.85328587,8628058.89598,8438015.34186
5986.12679134,8715596.67743,8438015.34186
5976.41607516,8828215.30809,8438015.34186
5966.72111175,8521763.93107,8438015.34186
5957.04187553,8659095.22276,8438015.34186
5947.37834101,8687687.24295,8438015.34186
5937.73048271,8790300.09033,8438015.34186
5928.09827519,8633441.14889,8438015.34186
5918.48169308,8648958.37492,8438015.34186
5908.88071102,8543078.83943,8438015.34186
5899.29530371,8684622.23067,8438015.34186
5889.72544588,8520097.29224,8438015.34186
5880.17111231,8757752.35907,8438015.34186
5870.63227782,8676002.44699,8438015.34186
5861.10891725,8573490.49486,8438015.34186
5851.60100551,8618975.17084,8438015.34186
5842.10851755,8730288.42481,8438015.34186
5832.63142832,8658567.84859,8438015.34186
5823.16971287,8493669.10527,8438015.34186
5813.72334625,8537655.15122,8404001.17666
5804.29230355,8483370.74467,8404001.17666
5794.87655993,8523545.95795,8404001.17666
5785.47609056,8476010.83477,8306392.325
5776.09087066,8355713.6871,8306392.325
5766.7208755,8593544.74584,8306392.325
5757.36608038,8567749.17005,8306392.325
5748.02646065,8445862.40351,8306392.325
5738.70199167,8700918.81271,8306392.325
5729.39264889,8676412.71652,8306392.325
